id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1041811919686755640,Beautiful One Bedroom Apartment,20678639,Suranga,,Hornsby,-33.748106235392,151.06401992962898,Entire home/apt,376,5,0,,,1,89,0,PID-STRA-61103
1041906777613256034,Nice View Modern Highrise Studio,548958727,Ken,,Auburn,-33.82563355914416,151.0803291309402,Entire home/apt,126,1,2,2024-06-13,0.23,2,57,2,Exempt
1041914237503966661,Nice View Modern Highrise Apartment,548958727,Ken,,Auburn,-33.82682634784659,151.07834538600096,Entire home/apt,160,1,2,2024-09-01,0.98,2,146,2,Exempt
1042152110741569457,Stunning Paddington terrace,29183139,Amrinder,,Woollahra,-33.88106883184786,151.2285913129847,Entire home/apt,550,13,0,,,1,89,0,PID-STRA-61178
1042269900262416779,Comfortable one BR in  Chatswood,474241925,Lucy,,Willoughby,-33.7952974,151.1879846,Entire home/apt,,1,0,,,27,0,0,Exempt
1042271793071999576,"The North Pearl, Waterview, Train& Ferry& Scenic",109696396,Liu,,North Sydney,-33.84719,151.2178,Entire home/apt,197,1,18,2024-04-13,2.03,15,157,18,PID-STRA-60595
1042307433667467917,Grace at Mosman 1 bedroom APT,189116609,Ruby,,Mosman,-33.8240264,151.242778,Entire home/apt,230,1,11,2024-07-09,1.25,2,326,11,PID-STRA-61126
1042330230446744465,ROSA - The Eclectic Cutie,8334899,Sharon,,North Sydney,-33.824958,151.2081147,Entire home/apt,235,2,7,2024-05-12,0.84,1,42,7,PID-STRA-61130
1042363410021315332,2 BR Apartment | Rockdale,334387589,Elizabeth,,Rockdale,-33.9474845,151.1364859,Entire home/apt,190,4,5,2024-07-20,0.86,3,195,5,PID-STRA-52824
1042363578774939375,2 BR apartment in Rockdale,334387589,Elizabeth,,Rockdale,-33.94674,151.1374,Entire home/apt,159,4,12,2024-08-23,1.53,3,136,12,PID-STRA-51654
1042369536886072187,Amazing Penthouse in Waterloo,135573101,Gabbie Kap Youn,,Sydney,-33.89661,151.20079,Entire home/apt,,2,34,2024-06-18,3.92,10,0,34,PID-STRA-61132
1042374223338202056,Queens Park Sanctuary - Family Escape with Pool,73511490,Uptown,,Waverley,-33.89864,151.2494,Entire home/apt,,1,0,,,16,0,0,PID-STRA-44341
1042416129898464471,Parramatta Westfield Right Here!,108237182,Venkata,,Parramatta,-33.81925753708291,151.00040041311564,Entire home/apt,,4,1,2024-01-05,0.12,1,90,1,PID-STRA-61194
1042436461185132693,Garden Studio in Zion,14573210,Alexander,,North Sydney,-33.84767,151.20328,Private room,,1,7,2024-04-27,0.78,14,0,7,PID-STRA-36353
1042460071083306342,Spacious retreat in Potts Point,96511504,Margaret,,Sydney,-33.87322141164178,151.2238223867071,Entire home/apt,250,1,1,2024-01-07,0.12,1,144,1,PID-STRA-59919
1042481039764563674,Three Monkeys Residence,107659409,Jeff,,The Hills Shire,-33.70595,150.94381,Entire home/apt,269,1,12,2024-08-17,1.47,2,152,12,PID-STRA-61141
1042488147950097047,Sydney Croydon 4bed house cls burwood and Ashfield,139218958,Sky,,Burwood,-33.87762,151.11724,Entire home/apt,320,1,8,2024-05-12,0.91,37,235,8,PID-STRA-60034
1042495238730665715,Sunny 1 Bed Apt with parking near train station,25678018,Komo,,Botany Bay,-33.92114,151.18711,Entire home/apt,144,1,58,2024-08-19,6.49,23,36,58,PID-STRA-60927
1042560824753746719,"2 Bedroom Bright Apt, Bondi Beach,2 mns From Beach",550178628,Amelia,,Waverley,-33.894317,151.2725138,Entire home/apt,381,7,8,2024-04-13,0.98,1,122,8,PID-STRA-61273
1042684129472197810,Uni Eco Estate & Beach Lifestyle,404452345,Val,,Willoughby,-33.80098,151.21971,Entire home/apt,340,28,1,2024-06-22,0.39,6,293,1,PID-STRA-61107
1042843306295930867,Grace At Mosman - 2Bedroom APT,189116609,Ruby,,Mosman,-33.82398,151.2427814,Entire home/apt,343,1,2,2024-07-21,0.31,2,349,2,PID-STRA-61100
1042910552212380266,Centennial Park Light filled Modern Studio,101139031,Gabriel HH,,Sydney,-33.8915288724614,151.230028437751,Entire home/apt,158,2,19,2024-08-17,2.33,60,140,19,PID-STRA-38096
1042930729960521524,Tranquil Townhouse Made To Enjoy,135914276,Amy,,Leichhardt,-33.88446125335769,151.1528373074935,Entire home/apt,579,3,5,2024-07-10,0.59,4,64,5,PID-STRA-53884
1042933156877158815,A room in Rouse Hill,112611242,Ivy N Ervin,,The Hills Shire,-33.69177830165494,150.9436890028303,Private room,85,1,3,2024-02-26,0.35,3,270,3,PID-STRA-35549
1042935912227474464,Collaroy Beach Bungalow,16623462,Mim,,Warringah,-33.7405303,151.2904267,Entire home/apt,277,1,36,2024-08-21,5.27,1,224,36,PID-STRA-68480
1042981458410189040,xmas casual Freshwater,173263432,Beaches BnB Management: Sue,,Warringah,-33.77697,151.29054,Entire home/apt,,3,4,2024-01-27,0.47,22,0,4,PID-STRA-62202
1043023506022501968,Parkside Self-contained Studio,35121546,Kim,,Randwick,-33.90640409567789,151.23764661730405,Entire home/apt,117,2,36,2024-09-03,4.22,1,133,36,PID-STRA-61165
1043027029370341666,Stunning Olympic Park Penthouse Vacation,479461796,Wei,,Auburn,-33.845893,151.0580553,Entire home/apt,,1,0,,,1,81,0,PID-STRA-61166
1043035856255325978,Modern unit with garage + easy walk to light rail,47072043,Jeremy,,Randwick,-33.90609106669041,151.23518636162532,Entire home/apt,183,1,32,2024-09-01,3.65,1,92,32,PID-STRA-61507
1043099250484204264,Queenscliff classic beach house,381363896,Dave,,Warringah,-33.78033286220449,151.28144396855535,Entire home/apt,944,4,1,2024-01-02,0.12,1,17,1,PID-STRA-48978
1043136206112895056,2-Entire unit self check in near Cabramatta,549737847,Yuji,,Fairfield,-33.90317,150.90179,Entire home/apt,96,1,2,2024-04-01,0.32,2,16,2,PID-STRA-61134
1043161984763091574,Hyde Park Tree-Top Views,550295273,Zsolt,,Sydney,-33.87496,151.21122,Entire home/apt,304,2,34,2024-08-12,3.88,1,249,34,PID-STRA-61182
1043174942355074070,10 min bus to CBD! Great location-all you need!,10579674,Dierdre,,North Sydney,-33.83359654008405,151.22242151534425,Entire home/apt,,2,15,2024-04-28,1.72,1,0,15,PID-STRA-61424
1043192352103158184,Charming 3 bedroom terrace,500637453,Abi,,Sydney,-33.8792742,151.1882301,Entire home/apt,400,3,7,2024-06-10,0.84,1,38,7,PID-STRA-61278
1043254923239953188,Sleep to the sound of the Sea,152922257,Shannon,,Canada Bay,-33.84897587270939,151.1578330570368,Private room,,1,0,,,1,0,0,Exempt
1043264009965128649,A Private Room with Two single beds,489066708,Liu,,Marrickville,-33.91571,151.17268,Private room,89,1,32,2024-08-27,3.66,8,128,32,PID-STRA-25543
1043266112389984354,Best of Surry with harbour views,43933536,Matthias,,Sydney,-33.88040071992258,151.21508538722992,Entire home/apt,250,3,7,2024-08-11,1.76,1,58,7,PID-STRA-65965
1043317437431698180,Single Room In Dulwich Hill,258908259,Ros,,Marrickville,-33.90377195639468,151.1434689642461,Private room,,1,5,2024-05-20,0.59,1,0,5,Exempt
1049006039965392566,Family Escape,323826104,Scott,,Sutherland Shire,-34.0419849,151.1486261,Entire home/apt,1551,3,1,2024-03-23,0.18,1,333,1,PID-STRA-61711
1049025037925824274,Retro Beachfront - 1 Bedroom Apartment!,443172747,Jai,,Randwick,-33.94490690842976,151.2589213670521,Entire home/apt,300,2,2,2024-06-10,0.48,2,104,2,PID-STRA-61721
1049075073110923266,Comfortable 2BR House Paddington 2E-Bikes Included,542885001,Félix Charles Kien,,Woollahra,-33.8858,151.22956,Entire home/apt,374,1,8,2024-08-21,0.94,39,31,8,PID-STRA-61534
1049080554552972368,1 Bedroom Deluxe with Terrace,355807,Dmitry,,Botany Bay,-33.93536,151.19446,Entire home/apt,208,1,1,2024-07-01,0.44,7,145,1,Exempt
1049143096681171325,Aircabin - Eastwood - Luxury - 4 Bedrooms House,484473459,AirCabin,,Parramatta,-33.7874884,151.0667469,Entire home/apt,266,2,16,2024-08-20,2.16,51,64,16,PID-STRA-62354
1049266999377991753,Lumière Sanctuary - Antique Elegance with Parking,139833494,Cynthia And Jason,,Leichhardt,-33.88050982235373,151.14901872071954,Entire home/apt,251,3,15,2024-08-18,1.81,3,161,15,Exempt
